time_observed_at,time_zone,latitude,longitude
2019-08-16 19:06:06 UTC,Pacific Time (US & Canada),48.5640916667,-123.4688866667
2019-08-22 00:58:49 UTC,Pacific Time (US & Canada),48.6423333333,-123.4599833333
2019-08-25 04:10:16 UTC,Pacific Time (US & Canada),48.571848175,-123.3960562579
2019-08-25 16:47:14 UTC,Pacific Time (US & Canada),48.5654333333,-123.4685583333
2019-08-25 17:16:43 UTC,Pacific Time (US & Canada),48.5653616667,-123.4687366667
2019-08-25 17:20:52 UTC,Pacific Time (US & Canada),48.5649116667,-123.4697283333
2019-08-25 17:40:56 UTC,Pacific Time (US & Canada),48.5652166667,-123.4703966667
2019-08-25 17:44:05 UTC,Pacific Time (US & Canada),48.5650666667,-123.4708116667
2019-08-25 17:46:05 UTC,Pacific Time (US & Canada),48.5651166667,-123.4708633333
2019-08-25 17:46:54 UTC,Pacific Time (US & Canada),48.56512,-123.4709166667
2019-08-25 17:50:04 UTC,Pacific Time (US & Canada),48.5648216667,-123.471375
2019-08-25 18:17:16 UTC,Pacific Time (US & Canada),48.5644633333,-123.4687716667
